2024-03-28,14:28:37.360,Begin, Starting intake
2024-03-28,14:28:37.453,Key 2 pressed
2024-03-28,14:28:37.597,Special key Key.enter pressed
2024-03-28,14:28:37.792,Key 2 pressed
2024-03-28,14:28:38.012,Special key Key.enter pressed
2024-03-28,14:28:38.538,Special key Key.enter pressed
2024-03-28,14:28:51.203,Special key Key.backspace pressed
2024-03-28,14:28:51.347,Special key Key.backspace pressed
2024-03-28,14:28:51.486,Special key Key.backspace pressed
2024-03-28,14:28:52.550,Special key Key.backspace pressed
2024-03-28,14:28:52.687,Special key Key.backspace pressed
2024-03-28,14:28:52.804,Special key Key.backspace pressed
2024-03-28,14:28:52.913,Special key Key.backspace pressed
2024-03-28,14:28:53.031,Special key Key.backspace pressed
2024-03-28,14:28:53.154,Special key Key.backspace pressed
2024-03-28,14:28:53.261,Special key Key.backspace pressed
2024-03-28,14:28:53.400,Special key Key.backspace pressed
2024-03-28,14:28:53.529,Special key Key.backspace pressed
2024-03-28,14:28:53.656,Special key Key.backspace pressed
2024-03-28,14:28:53.764,Special key Key.backspace pressed
2024-03-28,14:28:53.899,Special key Key.backspace pressed
2024-03-28,14:28:54.014,Special key Key.backspace pressed
2024-03-28,14:28:54.464,Key t pressed
2024-03-28,14:28:54.531,Key a pressed
2024-03-28,14:28:54.857,Key k pressed
2024-03-28,14:28:55.014,Key i pressed
2024-03-28,14:28:55.162,Key n pressed
2024-03-28,14:28:55.234,Key g pressed
2024-03-28,14:28:55.321,Special key Key.space pressed
2024-03-28,14:28:55.498,Key p pressed
2024-03-28,14:28:55.601,Key a pressed
2024-03-28,14:28:55.725,Key r pressed
2024-03-28,14:28:55.917,Key t pressed
2024-03-28,14:28:56.070,Special key Key.space pressed
2024-03-28,14:28:56.764,Special key Key.backspace pressed
2024-03-28,14:28:57.063,Special key Key.space pressed
2024-03-28,14:28:57.182,Key i pressed
2024-03-28,14:28:57.379,Key n pressed
2024-03-28,14:28:57.538,Special key Key.cmd pressed
2024-03-28,14:28:57.670,Key s pressed
2024-03-28,14:28:59.105,Special key Key.up pressed
2024-03-28,14:28:59.439,Special key Key.enter pressed
2024-03-28,14:29:01.869,Key 8 pressed
2024-03-28,14:29:02.075,Special key Key.enter pressed
