2024-03-28,14:29:27.646,Begin, Starting intake
2024-03-28,14:29:28.057,Key w pressed
2024-03-28,14:29:28.201,Special key Key.enter pressed
2024-03-28,14:29:28.368,Key w pressed
2024-03-28,14:29:28.550,Special key Key.enter pressed
2024-03-28,14:29:29.218,Key 2 pressed
2024-03-28,14:29:29.377,Special key Key.enter pressed
2024-03-28,14:29:29.665,Key 2 pressed
2024-03-28,14:29:29.860,Special key Key.enter pressed
2024-03-28,14:29:30.335,Special key Key.enter pressed
2024-03-28,14:29:44.366,Key q pressed
2024-03-28,14:29:44.435,Special key Key.enter pressed
